"skills","avg_salary"
"gdpr","217737.50"
"golang","208750.00"
"atlassian","189700.00"
"selenium","180000.00"
"opencv","172500.00"
"neo4j","171655.00"
"microstrategy","171146.58"
"dynamodb","169670.33"
"php","168125.00"
"tidyverse","165512.50"
"solidity","165000.00"
"c","164864.98"
"go","164691.09"
"datarobot","164500.00"
"qlik","164484.64"
"redis","162500.00"
"watson","161710.00"
"rust","161250.00"
"elixir","161250.00"
"cassandra","160850.00"
"looker","158714.91"
"slack","158333.33"
"terminal","157500.00"
"airflow","157414.13"
"julia","157243.80"
