"skill_id","skills","demand_count","avg_salary"
26,"c","48","164864.98"
8,"go","57","164691.09"
187,"qlik","15","164484.64"
185,"looker","57","158714.91"
96,"airflow","23","157414.13"
77,"bigquery","36","157142.36"
3,"scala","56","156701.92"
81,"gcp","59","155810.57"
80,"snowflake","72","152686.88"
101,"pytorch","115","152602.70"
78,"redshift","36","151708.14"
99,"tensorflow","126","151536.49"
233,"jira","22","151164.55"
92,"spark","149","150188.49"
76,"aws","217","149629.96"
94,"numpy","73","149089.24"
106,"scikit-learn","81","148963.95"
95,"pyspark","34","147544.45"
182,"tableau","219","146970.05"
2,"nosql","31","146110.28"
4,"java","64","145706.30"
196,"powerpoint","23","145139.04"
93,"pandas","113","144815.95"
213,"kubernetes","25","144497.96"
1,"python","763","143827.93"
